SampID	Sample.ID	Bird.ID	MG.Diet	MG.Status	Diet	Day	MG.Diet.Day	MG.Day	Diet.Day	MG.active	Exposure.MG	Exposure.Diet	Exposure.Diet.Day
ES27_619_MG-lipid_21	ES27	619	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES28_Blue-098_Control-lipid_0	ES28	Blue-098	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES29_Blue-098_Control-lipid_14	ES29	Blue-098	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES2_48_Control-lipid_14	ES2	48	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES30_Blue-098_Control-lipid_21	ES30	Blue-098	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES33_101-LS_MG-lipid_0	ES33	101-LS	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES34_101-LS_MG-lipid_14	ES34	101-LS	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES35_101-LS_MG-lipid_21	ES35	101-LS	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES36_AR17-21_MG-lipid_0	ES36	AR17-21	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES37_AR17-21_MG-lipid_14	ES37	AR17-21	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES38_AR17-21_MG-lipid_21	ES38	AR17-21	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES39_LD19-239_MG-lipid_14	ES39	LD19-239	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES3_48_Control-lipid_21	ES3	48	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES40_LD19-239_MG-lipid_21	ES40	LD19-239	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES41_Blue-013_Control-protein_0	ES41	Blue-013	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
ES42_Blue-013_Control-protein_14	ES42	Blue-013	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES43_Blue-013_Control-protein_21	ES43	Blue-013	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES44_Blue-015_MG-lipid_0	ES44	Blue-015	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES45_Blue-015_MG-lipid_14	ES45	Blue-015	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES46_Blue-015_MG-lipid_21	ES46	Blue-015	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES47_Blue-45_MG-protein_0	ES47	Blue-45	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES48_Blue-45_MG-protein_14	ES48	Blue-45	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES49_Blue-024_Control-protein_0	ES49	Blue-024	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
ES4_164_Control-protein_0	ES4	164	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
ES50_Blue-024_Control-protein_14	ES50	Blue-024	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES51_Blue-024_Control-protein_21	ES51	Blue-024	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES52_SEM19-1481_MG-protein_14	ES52	SEM19-1481	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES53_SEM19-74_MG-protein_0	ES53	SEM19-74	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES54_SEM19-74_MG-protein_14	ES54	SEM19-74	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES55_SEM19-74_MG-protein_21	ES55	SEM19-74	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES56_Blue-050_Control-lipid_21	ES56	Blue-050	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES57_Blue-031_MG-lipid_0	ES57	Blue-031	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES58_Blue-032_MG-protein_0	ES58	Blue-032	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES59_Blue-032_MG-protein_14	ES59	Blue-032	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES5_164_Control-protein_14	ES5	164	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES60_Blue-032_MG-protein_21	ES60	Blue-032	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES61_Blue-035_MG-protein_0	ES61	Blue-035	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES62_Blue-035_MG-protein_14	ES62	Blue-035	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES63_Blue-035_MG-protein_21	ES63	Blue-035	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES64_SEM19-1481_MG-protein_21	ES64	SEM19-1481	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES66_617_Control-protein_14	ES66	617	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES67_Blue-037_MG-protein_0	ES67	Blue-037	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES68_Blue-037_MG-protein_14	ES68	Blue-037	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES69_Blue-037_MG-protein_21	ES69	Blue-037	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES6_164_Control-protein_21	ES6	164	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES70_Blue-039_Control-lipid_0	ES70	Blue-039	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES71_Blue-039_Control-lipid_14	ES71	Blue-039	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES72_Blue-039_Control-lipid_21	ES72	Blue-039	Control-lipid	Control	lipid	21	Control-lipid.21	Control.21	lipid.21	NO	NO.Control	NO.lipid	NO.lipid.21
ES73_Blue-042_MG-protein_0	ES73	Blue-042	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES74_Blue-042_MG-protein_14	ES74	Blue-042	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES75_Blue-042_MG-protein_21	ES75	Blue-042	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES76_Blue-043_MG-lipid_0	ES76	Blue-043	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES77_Blue-043_MG-lipid_14	ES77	Blue-043	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES78_Blue-043_MG-lipid_21	ES78	Blue-043	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES79_Blue-050_Control-lipid_0	ES79	Blue-050	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES7_SEM19-1354_Control-protein_14	ES7	SEM19-1354	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES80_Blue-050_Control-lipid_14	ES80	Blue-050	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES81_Blue-047_Control-lipid_0	ES81	Blue-047	Control-lipid	Control	lipid	0	Control-lipid.0	Control.0	lipid.0	NO	NO.Control	NO.lipid	NO.lipid.0
ES82_Blue-047_Control-lipid_14	ES82	Blue-047	Control-lipid	Control	lipid	14	Control-lipid.14	Control.14	lipid.14	NO	NO.Control	NO.lipid	NO.lipid.14
ES83_SEM19-1481_MG-protein_0	ES83	SEM19-1481	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES84_LD19-239_MG-lipid_0	ES84	LD19-239	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES85_orange-24_Control-protein_0	ES85	orange-24	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
ES86_orange-24_Control-protein_14	ES86	orange-24	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES87_orange-24_Control-protein_21	ES87	orange-24	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES88_610_MG-protein_0	ES88	610	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES8_SEM19-1354_Control-protein_21	ES8	SEM19-1354	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES90_Blue-049_Control-protein_14	ES90	Blue-049	Control-protein	Control	protein	14	Control-protein.14	Control.14	protein.14	NO	NO.Control	NO.protein	NO.protein.14
ES91_Blue-049_Control-protein_21	ES91	Blue-049	Control-protein	Control	protein	21	Control-protein.21	Control.21	protein.21	NO	NO.Control	NO.protein	NO.protein.21
ES92_SEM19-76_MG-lipid_0	ES92	SEM19-76	MG-lipid	MG	lipid	0	MG-lipid.0	MG.0	lipid.0	NO	NO.MG	NO.lipid	NO.lipid.0
ES93_SEM19-76_MG-lipid_14	ES93	SEM19-76	MG-lipid	MG	lipid	14	MG-lipid.14	MG.14	lipid.14	YES	YES.MG	YES.lipid	YES.lipid.14
ES94_SEM19-76_MG-lipid_21	ES94	SEM19-76	MG-lipid	MG	lipid	21	MG-lipid.21	MG.21	lipid.21	YES	YES.MG	YES.lipid	YES.lipid.21
ES95_610_MG-protein_14	ES95	610	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES96_610_MG-protein_21	ES96	610	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES97_SEM19-107_MG-protein_0	ES97	SEM19-107	MG-protein	MG	protein	0	MG-protein.0	MG.0	protein.0	NO	NO.MG	NO.protein	NO.protein.0
ES98_SEM19-107_MG-protein_14	ES98	SEM19-107	MG-protein	MG	protein	14	MG-protein.14	MG.14	protein.14	YES	YES.MG	YES.protein	YES.protein.14
ES99_SEM19-107_MG-protein_21	ES99	SEM19-107	MG-protein	MG	protein	21	MG-protein.21	MG.21	protein.21	YES	YES.MG	YES.protein	YES.protein.21
ES9_172_Control-protein_0	ES9	172	Control-protein	Control	protein	0	Control-protein.0	Control.0	protein.0	NO	NO.Control	NO.protein	NO.protein.0
