Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
ES23_Blue-010_Control-lipid_0	81636026	94155704	92545734	33276731	63347158	1903.65	4740658	5544222	1169.5	20563428	15892373	772.85	506681601	5644821	11.14	12297643	182358	14.83	6.4	4.53	12593343	744741	59.14	36.65	23.37	1609970	67.27915071401304	5.888354889258754	16.87882127672265	5.9951981241625045	0.19367706071211577	0.3269711625755568	0.38611999544924014	0.7909674808442833	1.783278047605061	1.8624532827028726	1.709901717690943	32123943	35773054	55692	125504	29212114	33220403	74548	934317
ES24_Blue-010_Control-lipid_21	88353977	102203774	100506884	33276731	69781754	2097.01	4740658	5847208	1233.42	20563428	16772228	815.63	506681601	5876751	11.6	12297643	192662	15.67	6.87	5.0	12593343	755608	60.0	38.07	24.37	1696890	68.27708143145476	5.721127284399498	16.410575993015676	5.750033261981109	0.18850771596751406	0.3233403103098717	0.3921244630359736	0.73931516462396	1.70667083194012	1.788756841797251	1.6603007243157184	32123943	35773054	70300	137804	29212114	33220403	83895	988674
ES25_619_MG-lipid_0	79470735	92279248	90823458	33276731	64608013	1941.54	4740658	5534854	1167.53	20563428	14138259	687.54	506681601	4905424	9.68	12297643	130851	10.64	4.51	3.2	12593343	576310	45.76	28.82	18.4	1455790	70.01358853726246	5.997940078575413	15.32116841697713	5.3158473939882995	0.1417989448721992	0.23510919811570202	0.2782749161544966	0.6245282796409438	1.4309533601747602	1.4955886940040952	1.5775919630381035	32123943	35773054	39833	86106	29212114	33220403	59645	744163
ES26_619_MG-lipid_14	78191958	90404240	88893946	33276731	61423476	1845.84	4740658	5495398	1159.21	20563428	14860308	722.66	506681601	5322564	10.5	12297643	140044	11.39	4.73	3.34	12593343	618168	49.09	31.91	20.32	1510294	67.94313629537729	6.078694981562811	16.437622837158965	5.887515895272168	0.15490866357595617	0.25158333281713335	0.29620513374151475	0.6837820880967529	1.617293613662368	1.6862240089624114	1.670600847924832	32123943	35773054	40340	87398	29212114	33220403	62316	843934
ES27_619_MG-lipid_21	80198616	92598296	91019875	33276731	62569653	1880.28	4740658	5144474	1085.18	20563428	15489390	753.25	506681601	5889911	11.62	12297643	152485	12.4	5.36	3.8	12593343	664465	52.76	33.87	21.61	1578421	67.57106307874176	5.555689707292237	16.72751083886036	6.360712080490121	0.16467365662970732	0.27824162120650686	0.329254438980173	0.7175779994914809	1.6758958501784957	1.7511801729051257	1.7045896827302307	32123943	35773054	47237	105162	29212114	33220403	69712	887386
ES28_Blue-098_Control-lipid_0	94999465	109998895	107890280	33276731	73194715	2199.58	4740658	6381655	1346.15	20563428	18534565	901.34	506681601	7298341	14.4	12297643	248067	20.17	8.61	6.24	12593343	818153	64.97	40.85	26.4	2108615	66.54131843778977	5.801562824790194	16.849773809091445	6.634922105353877	0.22551771997345976	0.3760646868316268	0.455012752628106	0.7437829261830312	1.7013234542037898	1.8004680865203238	1.916941983826292	32123943	35773054	86842	165600	29212114	33220403	109058	1053284
ES29_Blue-098_Control-lipid_14	92613475	107298806	105360840	33276731	71780823	2157.09	4740658	5968051	1258.91	20563428	18251775	887.58	506681601	6933733	13.68	12297643	200934	16.34	7.08	5.22	12593343	846605	67.23	41.63	26.76	1937966	66.8980631527251	5.562085192262065	17.010231222889843	6.4620784317022135	0.18726583033924907	0.3173185356787661	0.39033891952162075	0.7890162356513082	1.7776898654398818	1.8710636910535612	1.806139389845587	32123943	35773054	78350	139545	29212114	33220403	100189	1060835
ES2_48_Control-lipid_14	80464132	93461710	91908068	33276731	64245922	1930.66	4740658	6027214	1271.39	20563428	14874674	723.36	506681601	4878479	9.63	12297643	161867	13.16	5.28	3.69	12593343	627520	49.83	33.21	21.13	1553642	68.74036650945077	6.448859110324431	15.915259842774116	5.21976218924306	0.1731907109339215	0.27171876054910615	0.3170474839375398	0.6714193438147024	1.6281469705615275	1.696374911180204	1.66232995308988	32123943	35773054	42365	92086	29212114	33220403	63767	894174
ES30_Blue-098_Control-lipid_21	61147455	70749915	69429026	33276731	46987951	1412.04	4740658	4235827	893.51	20563428	11968575	582.03	506681601	4738673	9.35	12297643	134529	10.94	4.68	3.45	12593343	506153	40.19	25.2	16.28	1320889	66.4141448085132	5.9870418218877015	16.916734104910233	6.6977790715366945	0.1901472249118603	0.31773183049053844	0.391013897331184	0.7154114602116483	1.63199065327499	1.7263031340744368	1.8669831617465549	32123943	35773054	51847	90266	29212114	33220403	66726	648479
ES31_Blue-055_NA_0	86162575	99942436	98371432	33276731	68964950	2072.47	4740658	6164035	1300.25	20563428	15407307	749.26	506681601	5663999	11.18	12297643	187496	15.25	6.75	4.89	12593343	695480	55.23	36.95	23.71	1571004	69.00467184930334	6.167585308807162	15.416181170529002	5.667261302296054	0.18760399236216335	0.3245848440196114	0.3923328424774437	0.6958805766951688	1.6938460455376534	1.7800586729745111	1.5719088536124934	32123943	35773054	67709	136902	29212114	33220403	86163	997391
