Sample	Unique Reads	Duplicate Reads
ES70_Blue-039_Control-lipid_0_1	9627172.0	45450857.0
ES70_Blue-039_Control-lipid_0_2	11733392.0	43344637.0
ES71_Blue-039_Control-lipid_14_1	7767285.0	31324974.0
ES71_Blue-039_Control-lipid_14_2	9303959.0	29788300.0
ES72_Blue-039_Control-lipid_21_1	8107669.0	35458067.0
ES72_Blue-039_Control-lipid_21_2	10491360.0	33074376.0
ES73_Blue-042_MG-protein_0_1	8983358.0	45083750.0
ES73_Blue-042_MG-protein_0_2	11562925.0	42504183.0
ES74_Blue-042_MG-protein_14_1	9407740.0	41448882.0
ES74_Blue-042_MG-protein_14_2	12170576.0	38686046.0
ES75_Blue-042_MG-protein_21_1	8397766.0	40355233.0
ES75_Blue-042_MG-protein_21_2	10290927.0	38462072.0
ES76_Blue-043_MG-lipid_0_1	9135554.0	32563401.0
ES76_Blue-043_MG-lipid_0_2	10713808.0	30985147.0
ES77_Blue-043_MG-lipid_14_1	10684906.0	36123591.0
ES77_Blue-043_MG-lipid_14_2	12200118.0	34608379.0
ES78_Blue-043_MG-lipid_21_1	11361563.0	39507481.0
ES78_Blue-043_MG-lipid_21_2	12929701.0	37939343.0
ES79_Blue-050_Control-lipid_0_1	8513714.0	31209589.0
ES79_Blue-050_Control-lipid_0_2	10483095.0	29240208.0
ES7_SEM19-1354_Control-protein_14_1	8804533.0	34782435.0
ES7_SEM19-1354_Control-protein_14_2	10190951.0	33396017.0
ES80_Blue-050_Control-lipid_14_1	8001229.0	34583467.0
ES80_Blue-050_Control-lipid_14_2	10177337.0	32407359.0
ES81_Blue-047_Control-lipid_0_1	8135238.0	37609365.0
ES81_Blue-047_Control-lipid_0_2	10454254.0	35290349.0
ES82_Blue-047_Control-lipid_14_1	5474932.0	24795156.0
ES82_Blue-047_Control-lipid_14_2	7231911.0	23038177.0
ES83_SEM19-1481_MG-lipid_0_1	9115369.0	38247455.0
ES83_SEM19-1481_MG-lipid_0_2	11057143.0	36305681.0
ES84_LD19-239_MG-lipid_0_1	9432441.0	37372117.0
ES84_LD19-239_MG-lipid_0_2	11474434.0	35330124.0
ES85_orange-24_Control-protein_0_1	9145375.0	36093850.0
ES85_orange-24_Control-protein_0_2	10549117.0	34690108.0
ES86_orange-24_Control-protein_14_1	7305877.0	28431775.0
ES86_orange-24_Control-protein_14_2	8460941.0	27276711.0
ES87_orange-24_Control-protein_21_1	8599634.0	35613166.0
ES87_orange-24_Control-protein_21_2	10217453.0	33995347.0
ES88_610_MG-protein_0_1	9059626.0	40045675.0
ES88_610_MG-protein_0_2	10515749.0	38589552.0
ES89_Blue-049_Control-protein_0_1	45131.0	255679.0
ES89_Blue-049_Control-protein_0_2	181837.0	118973.0
ES8_SEM19-1354_Control-protein_21_1	9412821.0	36802693.0
ES8_SEM19-1354_Control-protein_21_2	11241012.0	34974502.0
ES90_Blue-049_Control-protein_14_1	8176118.0	36845402.0
ES90_Blue-049_Control-protein_14_2	10434320.0	34587200.0
ES91_Blue-049_Control-protein_21_1	7873937.0	34964449.0
ES91_Blue-049_Control-protein_21_2	9820928.0	33017458.0
ES92_SEM19-76_MG-lipid_0_1	8348005.0	41666093.0
ES92_SEM19-76_MG-lipid_0_2	10938476.0	39075622.0
ES93_SEM19-76_MG-lipid_14_1	9067669.0	39154962.0
ES93_SEM19-76_MG-lipid_14_2	11124473.0	37098158.0
ES94_SEM19-76_MG-lipid_21_1	8860020.0	40927396.0
ES94_SEM19-76_MG-lipid_21_2	10984062.0	38803354.0
ES95_610_MG-protein_14_1	9806016.0	40417783.0
ES95_610_MG-protein_14_2	12186314.0	38037485.0
ES96_610_MG-protein_21_1	10246210.0	38463816.0
ES96_610_MG-protein_21_2	12661908.0	36048118.0
ES97_SEM19-107_MG-protein_0_1	10145428.0	37616613.0
ES97_SEM19-107_MG-protein_0_2	11321981.0	36440060.0
ES98_SEM19-107_MG-protein_14_1	12555133.0	43950221.0
ES98_SEM19-107_MG-protein_14_2	13706634.0	42798720.0
ES99_SEM19-107_MG-protein_21_1	10470503.0	36381705.0
ES99_SEM19-107_MG-protein_21_2	11734528.0	35117680.0
ES9_172_Control-protein_0_1	8934681.0	36661355.0
ES9_172_Control-protein_0_2	10586634.0	35009402.0
