Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ES40_LD19-239_MG-lipid_21_1	3.4	53032480	15624197	53032480	2651624000	1953016	2627960505	0.8924151765106969
ES40_LD19-239_MG-lipid_21_2	3.4	53032480	17406622	53032480	2651624000	25596371	2601177719	1.9024673558543745
ES41_Blue-013_Control-protein_0_1	3.4	49547668	14588379	49547668	2477383400	2306656	2454726586	0.9145461295978652
ES41_Blue-013_Control-protein_0_2	3.4	49547668	16241428	49547668	2477383400	27763628	2426599486	2.0499012789058004
ES42_Blue-013_Control-protein_14_1	3.4	43814409	13198797	43814409	2190720450	1719019	2168272074	1.0247029008196824
ES42_Blue-013_Control-protein_14_2	3.4	43814409	14447590	43814409	2190720450	20053187	2150006885	1.8584555140296426
ES43_Blue-013_Control-protein_21_1	3.4	46998471	13971833	46998471	2349923550	1850961	2328618388	0.9066321327772556
ES43_Blue-013_Control-protein_21_2	3.4	46998471	15479316	46998471	2349923550	24258691	2303652444	1.969047290921443
ES44_Blue-015_MG-lipid_0_1	3.4	49548155	14517117	49548155	2477407750	1735708	2454815047	0.9119493147625779
ES44_Blue-015_MG-lipid_0_2	3.4	49548155	16323988	49548155	2477407750	18772524	2435270851	1.7008463382743515
ES45_Blue-015_MG-lipid_14_1	3.4	53891868	15998112	53891868	2694593400	1573742	2670669728	0.8878397757524381
ES45_Blue-015_MG-lipid_14_2	3.4	53891868	17784562	53891868	2694593400	8069500	2660880607	1.251127275825733
ES46_Blue-015_MG-lipid_21_1	3.4	46181192	13988938	46181192	2309059600	1650029	2287955424	0.9139727705599284
ES46_Blue-015_MG-lipid_21_2	3.4	46181192	15424885	46181192	2309059600	16819937	2270253515	1.6806012716172418
ES47_Blue-45_MG-protein_0_1	3.4	43201675	12829937	43201675	2160083750	1461870	2138527558	0.997933158841642
ES47_Blue-45_MG-protein_0_2	3.4	43201675	14061698	43201675	2160083750	13980188	2125906828	1.5822035603943598
ES48_Blue-45_MG-protein_14_1	3.4	45560444	13144439	45560444	2278022200	1593150	2257492358	0.9012134297901048
ES48_Blue-45_MG-protein_14_2	3.4	45560444	14819403	45560444	2278022200	16947304	2239844029	1.6759349843034892
ES49_Blue-024_Control-protein_0_1	3.4	44545402	12851966	44545402	2227270100	2271268	2207154735	0.9031399020711497
ES49_Blue-024_Control-protein_0_2	3.4	44545402	14692639	44545402	2227270100	24488678	2181975911	2.0336190478200193
ES4_164_Control-protein_0_1	3.4	45134181	12987304	45134181	2256709050	2281017	2235843941	0.924581261372617
ES4_164_Control-protein_0_2	3.4	45134181	14942148	45134181	2256709050	25994287	2209438236	2.094679152370129
ES50_Blue-024_Control-protein_14_1	3.4	39783087	11556684	39783087	1989154350	1881884	1970547481	0.9354160475279356
