Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
ES6_164_Control-protein_21	55227294.0	4831602.0	14308922.0	5592045.0	149680.0	82465.0	41281.0	632414.0	816527.0	58882.0	1366310.0
ES70_Blue-039_Control-lipid_0	75873658.0	7355668.0	17637582.0	6533123.0	226580.0	138425.0	67026.0	811850.0	1141281.0	94127.0	2022417.0
ES71_Blue-039_Control-lipid_14	53281134.0	5046887.0	12874516.0	4842728.0	140550.0	93837.0	46405.0	553498.0	738520.0	66879.0	1398178.0
ES72_Blue-039_Control-lipid_21	58719157.0	5493097.0	14041970.0	4956822.0	159705.0	105625.0	51702.0	571668.0	756277.0	70423.0	1617384.0
ES73_Blue-042_MG-protein_0	75126959.0	6366455.0	17514576.0	6472624.0	220491.0	161082.0	74161.0	689495.0	995162.0	97452.0	1894021.0
ES74_Blue-042_MG-protein_14	68411896.0	5926531.0	16871465.0	6911010.0	227888.0	182782.0	85309.0	664967.0	941497.0	108974.0	1970493.0
ES75_Blue-042_MG-protein_21	68934190.0	5900319.0	16325546.0	5278410.0	182017.0	122597.0	57412.0	615095.0	847893.0	85983.0	1703998.0
ES76_Blue-043_MG-lipid_0	55684056.0	5084040.0	13781194.0	5892148.0	172271.0	124655.0	57304.0	598507.0	783505.0	71064.0	1560331.0
ES77_Blue-043_MG-lipid_14	62421070.0	5273182.0	16277656.0	7009877.0	214932.0	150478.0	66585.0	735888.0	957192.0	76550.0	1729701.0
ES78_Blue-043_MG-lipid_21	67380477.0	5761194.0	17842245.0	7733384.0	224806.0	161773.0	74190.0	815233.0	1082266.0	92300.0	1926654.0
ES79_Blue-050_Control-lipid_0	52999104.0	4918791.0	12406064.0	4714178.0	160888.0	127937.0	58810.0	534163.0	730887.0	66389.0	1439802.0
ES7_SEM19-1354_Control-protein_14	60920363.0	5491616.0	14420969.0	6007798.0	176580.0	148708.0	67778.0	656995.0	873350.0	72677.0	1542051.0
ES80_Blue-050_Control-lipid_14	58308120.0	6223502.0	12676537.0	4783320.0	154503.0	124053.0	59412.0	554267.0	782653.0	68057.0	1415488.0
ES81_Blue-047_Control-lipid_0	63961620.0	5470104.0	14711805.0	5462400.0	200644.0	148119.0	63790.0	562037.0	817360.0	80594.0	1641953.0
ES82_Blue-047_Control-lipid_14	43888524.0	4737387.0	7374522.0	2882674.0	172527.0	84877.0	35999.0	253151.0	465540.0	41130.0	920566.0
ES83_SEM19-1481_MG-lipid_0	66041107.0	6085438.0	15502863.0	5686082.0	172646.0	124241.0	57045.0	571932.0	754067.0	68147.0	1581935.0
ES84_LD19-239_MG-lipid_0	63681930.0	5617013.0	15712852.0	5460793.0	164390.0	100418.0	46424.0	700297.0	953156.0	74464.0	1653590.0
ES85_orange-24_Control-protein_0	62679432.0	5679770.0	14606298.0	5447372.0	181706.0	116468.0	55182.0	667402.0	955016.0	71257.0	1515374.0
ES86_orange-24_Control-protein_14	48950547.0	4461048.0	11456371.0	4243742.0	133414.0	82183.0	40178.0	546049.0	798705.0	56432.0	1203206.0
ES87_orange-24_Control-protein_21	60821320.0	5547131.0	14170794.0	5160014.0	170530.0	113969.0	55157.0	655466.0	928270.0	70108.0	1482794.0
ES88_610_MG-protein_0	70153958.0	5559791.0	16547720.0	5670332.0	190536.0	119856.0	62508.0	717052.0	1077169.0	82531.0	1609316.0
ES8_SEM19-1354_Control-protein_21	63092616.0	5468649.0	15637682.0	6693042.0	210749.0	176816.0	79143.0	713783.0	965199.0	79747.0	1691216.0
ES90_Blue-049_Control-protein_14	61119019.0	5308651.0	14478090.0	5123845.0	170307.0	118902.0	53903.0	581087.0	850319.0	73374.0	1607090.0
ES91_Blue-049_Control-protein_21	58596138.0	5565429.0	13777576.0	4895103.0	152656.0	101803.0	47606.0	558190.0	753044.0	66639.0	1554828.0
ES92_SEM19-76_MG-lipid_0	70919556.0	6267767.0	16084806.0	4973167.0	149988.0	101890.0	47996.0	700553.0	1054196.0	76932.0	1544990.0
ES93_SEM19-76_MG-lipid_14	65690831.0	5873799.0	16478551.0	5372232.0	171203.0	105494.0	51177.0	723258.0	982406.0	70848.0	1594299.0
ES94_SEM19-76_MG-lipid_21	67825988.0	6402416.0	16093909.0	6236186.0	160327.0	115710.0	56270.0	739369.0	1054614.0	90069.0	1680941.0
ES95_610_MG-protein_14	68050475.0	5836061.0	16584824.0	6613448.0	227105.0	152299.0	83669.0	748044.0	1079987.0	95577.0	1848939.0
ES96_610_MG-protein_21	66974754.0	4795706.0	17064729.0	7039989.0	136174.0	149996.0	78323.0	790706.0	984261.0	92041.0	1761909.0
ES97_SEM19-107_MG-protein_0	64840947.0	5427613.0	16802827.0	6283367.0	168970.0	128454.0	59080.0	700159.0	973653.0	83039.0	1837782.0
ES98_SEM19-107_MG-protein_14	75467244.0	6157172.0	19823547.0	8819186.0	242851.0	169392.0	73089.0	806510.0	1128300.0	92232.0	2041295.0
ES99_SEM19-107_MG-protein_21	62808935.0	5121190.0	15640194.0	6514454.0	166710.0	120882.0	55433.0	628922.0	916077.0	78344.0	1904399.0
ES9_172_Control-protein_0	64405177.0	4689764.0	15682079.0	5885718.0	148213.0	111933.0	58170.0	784598.0	1115730.0	79963.0	1574539.0
