Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES1_48_Control-lipid_0_2 - Adapter 1	11527718	3722745	1114888	180164	60150	7518	1569	815	963	1410	1248	801	761	735	487	631	793	385	679	291	402	388	421	434	362	307	349	236	202	291	291	212	136	119	120	78	101	62	48	51	74	46	43	24	33	36	77	31	110	1154
ES20_618_Control-lipid_0_1 - Adapter 1	9740604	3175314	691113	105225	25663	1684	447	399	552	601	603	294	318	333	305	340	386	239	227	258	242	193	196	226	194	179	147	148	130	121	221	101	101	77	78	63	49	44	33	51	48	29	22	55	30	39	343	150	119	4438
ES20_618_Control-lipid_0_2 - Adapter 1	10934270	3559671	1130683	166559	61001	6732	1231	538	808	1069	933	573	510	533	338	528	635	207	507	163	302	253	320	352	215	206	216	155	166	175	159	112	86	76	112	43	63	48	22	30	38	19	33	12	16	13	54	27	14	82
ES21_618_Control-lipid_14_1 - Adapter 1	6752669	2175557	476735	74864	17812	1286	727	290	414	720	559	452	595	410	460	263	621	235	183	212	200	259	192	221	216	166	175	205	167	157	4363	232	270	190	252	235	93	125	98	117	144	116	160	266	136	145	447	1260	7894	335574
ES21_618_Control-lipid_14_2 - Adapter 1	7612963	2468489	824169	122824	41393	4640	1998	550	2261	729	1303	453	600	392	432	395	609	200	353	174	256	187	212	232	187	185	284	269	283	1049	3066	239	208	168	325	78	89	116	88	62	128	47	120	48	43	43	166	175	340	1679
ES22_618_Control-lipid_21_1 - Adapter 1	9602509	3012479	663533	108061	26953	1819	502	454	611	574	658	361	325	383	317	338	375	286	247	296	244	203	252	238	246	154	153	157	144	105	297	111	126	74	100	63	53	59	39	33	66	17	34	83	61	70	315	334	660	29662
ES22_618_Control-lipid_21_2 - Adapter 1	10775476	3402740	1091559	165249	57491	6574	1381	598	773	1130	1052	554	554	508	353	568	598	289	502	225	280	274	324	376	266	210	202	175	148	210	189	123	111	71	90	74	61	54	46	38	42	22	29	7	39	13	89	44	31	478
ES23_Blue-010_Control-lipid_0_1 - Adapter 1	9686128	3032904	663907	108037	27522	1793	470	407	677	649	684	349	334	350	310	307	386	277	224	281	266	186	277	242	251	197	185	154	180	123	266	149	155	114	91	69	65	55	45	35	53	26	19	27	20	41	127	109	175	6430
ES23_Blue-010_Control-lipid_0_2 - Adapter 1	10539312	3429489	1046556	174758	55946	6018	1382	589	838	1179	960	562	557	558	348	477	613	270	521	213	296	272	355	361	306	183	254	162	172	167	224	151	125	88	99	53	61	85	32	45	33	28	27	7	38	23	71	24	15	119
ES24_Blue-010_Control-lipid_21_1 - Adapter 1	10169230	3346220	718221	116633	29044	2076	650	540	746	820	925	488	483	452	430	450	482	360	307	376	303	317	324	357	279	232	253	234	244	179	156	168	161	109	89	58	39	51	52	36	47	20	22	26	31	75	94	39	56	4062
