Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ES40_LD19-239_MG-lipid_21_1	0.7680274428048622	9.335857949694224
ES40_LD19-239_MG-lipid_21_2	0.7447040002654977	9.64637331688052
ES41_Blue-013_Control-protein_0_1	1.520668944500072	11.491483312595056
ES41_Blue-013_Control-protein_0_2	0.8841324277865106	11.888212377623905
ES42_Blue-013_Control-protein_14_1	0.8994894807322403	7.016383582852846
ES42_Blue-013_Control-protein_14_2	0.6886364711663691	8.103213260277
ES43_Blue-013_Control-protein_21_1	1.0330719056796551	9.637449694906033
ES43_Blue-013_Control-protein_21_2	0.7092209446558378	9.738414681618048
ES44_Blue-015_MG-lipid_0_1	0.594129085129406	7.763233565407228
ES44_Blue-015_MG-lipid_0_2	0.7515759163989053	8.576246683655524
ES45_Blue-015_MG-lipid_14_1	0.4921169182704893	8.289399061097678
