Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
ES79_Blue-050_Control-lipid_0	ES79_Blue-050_Control-lipid_0.sorted.bam	33740260.0	74975782.0	10568110.0	55065948.0	6968.0	11141398.0	1.38	55065948.0	6529011.0	2773315.0	1014990.0
ES7_SEM19-1354_Control-protein_14	ES7_SEM19-1354_Control-protein_14.sorted.bam	39134255.0	86195833.0	11631096.0	63529102.0	11282.0	8236019.0	1.42	63529102.0	7825899.0	3159899.0	1050676.0
ES80_Blue-050_Control-lipid_14	ES80_Blue-050_Control-lipid_14.sorted.bam	36745626.0	81426320.0	11311547.0	60698532.0	5825.0	10841915.0	1.35	60698532.0	6628194.0	2752610.0	1032111.0
ES81_Blue-047_Control-lipid_0	ES81_Blue-047_Control-lipid_0.sorted.bam	40114947.0	88497925.0	11774256.0	66026393.0	18480.0	10191475.0	1.34	66026393.0	7385533.0	3251165.0	1097142.0
ES82_Blue-047_Control-lipid_14	ES82_Blue-047_Control-lipid_14.sorted.bam	26135571.0	56744563.0	6709980.0	43822882.0	14244.0	7537581.0	1.46	43822882.0	4292902.0	1883678.0	743067.0
ES83_SEM19-1481_MG-lipid_0	ES83_SEM19-1481_MG-lipid_0.sorted.bam	41815183.0	92383311.0	12508101.0	69239835.0	18091.0	10139288.0	1.36	69239835.0	7562798.0	3009618.0	1077094.0
ES84_LD19-239_MG-lipid_0	ES84_LD19-239_MG-lipid_0.sorted.bam	40764181.0	91004509.0	13280867.0	66884056.0	9298.0	11166453.0	1.35	66884056.0	7435555.0	3359118.0	1107817.0
ES85_orange-24_Control-protein_0	ES85_orange-24_Control-protein_0.sorted.bam	39642652.0	86612022.0	10936491.0	65046636.0	11450.0	10510005.0	1.33	65046636.0	7296998.0	3265371.0	1068814.0
ES86_orange-24_Control-protein_14	ES86_orange-24_Control-protein_14.sorted.bam	31087639.0	68847412.0	9710502.0	50904103.0	9021.0	8734693.0	1.38	50904103.0	5665531.0	2516118.0	819275.0
ES87_orange-24_Control-protein_21	ES87_orange-24_Control-protein_21.sorted.bam	38405708.0	84002560.0	10769913.0	63173198.0	10650.0	10561221.0	1.34	63173198.0	6882602.0	3114861.0	1000356.0
ES88_610_MG-protein_0	ES88_610_MG-protein_0.sorted.bam	43938808.0	95403995.0	11357394.0	72929910.0	27159.0	9748984.0	1.34	72929910.0	7485312.0	3544981.0	1090245.0
ES8_SEM19-1354_Control-protein_21	ES8_SEM19-1354_Control-protein_21.sorted.bam	41058910.0	90223871.0	11962327.0	65926193.0	14744.0	9445856.0	1.35	65926193.0	8691545.0	3585509.0	1171020.0
ES90_Blue-049_Control-protein_14	ES90_Blue-049_Control-protein_14.sorted.bam	38569541.0	86653983.0	13270567.0	63462580.0	16229.0	11745430.0	1.33	63462580.0	6849610.0	3019144.0	1015025.0
ES91_Blue-049_Control-protein_21	ES91_Blue-049_Control-protein_21.sorted.bam	37093542.0	83550167.0	12874981.0	61297190.0	12017.0	10553183.0	1.36	61297190.0	6543106.0	2787561.0	946632.0
ES92_SEM19-76_MG-lipid_0	ES92_SEM19-76_MG-lipid_0.sorted.bam	43971210.0	98469208.0	14927555.0	73768741.0	9220.0	10762730.0	1.32	73768741.0	6622270.0	3105162.0	986192.0
ES93_SEM19-76_MG-lipid_14	ES93_SEM19-76_MG-lipid_14.sorted.bam	41925465.0	92989333.0	12978587.0	69475190.0	14055.0	11698084.0	1.35	69475190.0	7183337.0	3302530.0	1047933.0
ES94_SEM19-76_MG-lipid_21	ES94_SEM19-76_MG-lipid_21.sorted.bam	43515067.0	98365432.0	15737400.0	71223910.0	8991.0	11441986.0	1.4	71223910.0	8067462.0	3294018.0	1062412.0
ES95_610_MG-protein_14	ES95_610_MG-protein_14.sorted.bam	43647786.0	95797362.0	12419155.0	70739768.0	29786.0	12238124.0	1.36	70739768.0	8674121.0	3877948.0	1223411.0
ES96_610_MG-protein_21	ES96_610_MG-protein_21.sorted.bam	43043600.0	93839842.0	11324389.0	69757411.0	21380.0	10165523.0	1.4	69757411.0	8980636.0	3689834.0	1120424.0
ES97_SEM19-107_MG-protein_0	ES97_SEM19-107_MG-protein_0.sorted.bam	42202702.0	97011536.0	17193005.0	68201003.0	11328.0	10572337.0	1.36	68201003.0	8170954.0	3394827.0	1086926.0
ES98_SEM19-107_MG-protein_14	ES98_SEM19-107_MG-protein_14.sorted.bam	49802366.0	110054676.0	15172866.0	79036783.0	19507.0	12841739.0	1.31	79036783.0	11515788.0	4266556.0	1508642.0
ES99_SEM19-107_MG-protein_21	ES99_SEM19-107_MG-protein_21.sorted.bam	40718623.0	95434966.0	18624153.0	65067050.0	12043.0	11693874.0	1.33	65067050.0	8458233.0	3231403.0	1129734.0
ES9_172_Control-protein_0	ES9_172_Control-protein_0.sorted.bam	40799098.0	91574167.0	14660766.0	66220537.0	13165.0	8825170.0	1.41	66220537.0	7467858.0	3170827.0	981604.0
