Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ES1_48_Control-lipid_0_2	0.8859776446881484	10.430981574381464
ES20_618_Control-lipid_0_1	0.7339984963484597	14.81028597299474
ES20_618_Control-lipid_0_2	1.1083838704179168	15.295390647159497
ES21_618_Control-lipid_14_1	0.8986020999625447	12.969988418653884
ES21_618_Control-lipid_14_2	1.1065055104588193	14.796036918899201
ES22_618_Control-lipid_21_1	1.2728888150391653	12.16145360988748
ES22_618_Control-lipid_21_2	0.9788615398890943	13.080259997183173
ES23_Blue-010_Control-lipid_0_1	0.8036269267385108	8.715122095466464
ES23_Blue-010_Control-lipid_0_2	0.8193681111490732	9.955564697232571
ES24_Blue-010_Control-lipid_21_1	0.6749343376266763	10.915465914996975
ES24_Blue-010_Control-lipid_21_2	1.0399028007196764	11.460432371304355
ES25_619_MG-lipid_0_1	0.9502320398295276	15.900158604879794
ES25_619_MG-lipid_0_2	1.0591573142602613	16.434289703787634
ES26_619_MG-lipid_14_1	1.1542891250683291	11.993991018891048
ES26_619_MG-lipid_14_2	0.9121977917917445	12.338027180349544
ES27_619_MG-lipid_21_1	1.0566833139211755	11.328847175293182
ES27_619_MG-lipid_21_2	0.7412470385032359	11.768193650685268
ES28_Blue-098_Control-lipid_0_1	0.5639996711507942	6.953870879085291
ES28_Blue-098_Control-lipid_0_2	0.750281030621098	7.517310641777238
ES29_Blue-098_Control-lipid_14_1	0.6697393590390112	7.227894514004487
ES29_Blue-098_Control-lipid_14_2	0.720202722502311	9.046931197672428
ES2_48_Control-lipid_14_1	0.9115352061309251	13.022166900993062
ES2_48_Control-lipid_14_2	1.076797794346132	12.868062185956738
ES30_Blue-098_Control-lipid_21_1	0.8628569784872386	8.526394051623203
ES30_Blue-098_Control-lipid_21_2	0.7505611602701505	8.709153547421357
ES31_Blue-055_NA_0_1	0.6362864730635185	14.307782196920696
ES31_Blue-055_NA_0_2	1.1031126108111002	14.6029673526435
ES32_Blue-055_NA_14_1	0.6641910234869346	10.283767551325937
ES32_Blue-055_NA_14_2	0.836649323421543	10.860659953360564
ES33_101-LS_MG-lipid_0_1	0.8575475883522712	14.478229144375252
ES33_101-LS_MG-lipid_0_2	1.0611730196094806	14.982219415316997
ES34_101-LS_MG-lipid_14_1	0.6567469919196717	10.99580107428432
ES34_101-LS_MG-lipid_14_2	0.8479694407729363	12.045797662860505
ES35_101-LS_MG-lipid_21_1	1.09705111920978	11.379572491781557
ES35_101-LS_MG-lipid_21_2	0.9040511798965627	11.970019842093697
ES36_AR17-21_MG-lipid_0_1	0.8228241598049524	13.278227882691485
ES36_AR17-21_MG-lipid_0_2	1.0041289446846176	12.827584134392847
ES37_AR17-21_MG-lipid_14_1	0.8971646441580385	10.56092523736538
ES37_AR17-21_MG-lipid_14_2	0.8701913292753296	10.94060325047797
ES38_AR17-21_MG-lipid_21_1	1.0737415261077514	10.206004675390222
ES38_AR17-21_MG-lipid_21_2	0.8054869261522317	10.240372686891183
ES39_LD19-239_MG-lipid_14_1	0.7906272968809089	6.091736222535551
ES39_LD19-239_MG-lipid_14_2	0.6484086937396559	6.333605692048299
ES3_48_Control-lipid_21_1	0.9381490609815656	12.390855615582979
ES3_48_Control-lipid_21_2	0.9245550042661063	12.919581997601862
ES40_LD19-239_MG-lipid_21_1	0.7135548183174787	9.087682607764055
ES40_LD19-239_MG-lipid_21_2	0.7505569272533521	9.638552430977365
ES41_Blue-013_Control-protein_0_1	1.4087406602175108	11.433813755539981
ES41_Blue-013_Control-protein_0_2	0.8902235010018383	11.872250250375547
ES42_Blue-013_Control-protein_14_1	0.8375219090482805	6.98831698390159
ES42_Blue-013_Control-protein_14_2	0.6941170202663758	7.962683029348737
ES43_Blue-013_Control-protein_21_1	0.954694751888121	9.487646455964272
ES43_Blue-013_Control-protein_21_2	0.7139883168708541	9.839186693454366
ES44_Blue-015_MG-lipid_0_1	0.5915913360307277	7.698990376188405
ES44_Blue-015_MG-lipid_0_2	0.7563150487750931	8.51806137766966
ES45_Blue-015_MG-lipid_14_1	0.48977423642729523	8.032158752763547
