Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
ES23_Blue-010_Control-lipid_0	11096540	10984480	77523	32603	131397	105513	18819	7065	98.99013566390965	0.6986231744309487	0.2938123054573768	80.30092011233133	14.32224480010959	5.376835087559076
ES24_Blue-010_Control-lipid_21	12286685	12182074	71672	30598	127949	103099	17789	7061	99.14858238817061	0.5833306542814437	0.24903381180521844	80.57819912621436	13.903195804578386	5.518605069207262
ES25_619_MG-lipid_0	11311298	11215573	68565	25626	122541	99129	17168	6244	99.15372223417684	0.6061638549351277	0.22655224891077927	80.8945577398585	14.010004814715074	5.095437445426429
ES26_619_MG-lipid_14	10839825	10736549	74205	27362	126089	100929	18459	6701	99.04725399164654	0.6845590219399299	0.2524210492328059	80.0458406363759	14.639659288280502	5.314500075343607
ES27_619_MG-lipid_21	10987163	10875629	79409	30267	123124	99365	17250	6509	98.98486988861455	0.722743441596343	0.27547602597686044	80.70319352847535	14.01026607322699	5.286540398297651
ES28_Blue-098_Control-lipid_0	13375416	13224969	106215	41265	139098	104995	24214	9889	98.87519760133068	0.7941061421940072	0.3085137688427784	75.48275316683201	17.407870709859235	7.109376123308746
ES29_Blue-098_Control-lipid_14	13072762	12942167	91976	36024	135710	104732	22089	8889	99.00101447574737	0.7035697582500163	0.27556533194744925	77.17338442266598	16.276619261660894	6.549996315673126
ES2_48_Control-lipid_14	11559263	11453829	72932	30733	128091	102036	18963	7092	99.0878830250683	0.6309398791255116	0.26587335196024175	79.6589924350657	14.804318804599855	5.5366887603344495
ES30_Blue-098_Control-lipid_21	8583289	8495479	62496	23673	120255	95752	17689	6814	98.97696558976402	0.7281124986004782	0.2758033662853482	79.6241320527213	14.709575485426802	5.666292461851898
ES31_Blue-055_NA_0	12230506	12115958	80712	31973	125322	99916	18034	7372	99.06342386815395	0.6599236368470772	0.2614200916953068	79.72742216051452	14.390131022486074	5.882446816999409
ES32_Blue-055_NA_14	12110516	12005206	69450	33603	132072	108116	16917	7039	99.13042516107488	0.5734685458489135	0.2774695974969192	81.86140892846326	12.808922405960384	5.329668665576352
ES33_101-LS_MG-lipid_0	12684992	12559466	89957	33903	125982	97431	20579	7972	99.01043690055145	0.7091608729433964	0.2672685958335646	77.33723865314093	16.33487323585909	6.327888110999984
ES34_101-LS_MG-lipid_14	11674017	11547781	89183	35258	130224	101321	20569	8334	98.91865841894868	0.7639444074820175	0.30202114661988244	77.80516648236883	15.795091534586557	6.3997419830446
ES35_101-LS_MG-lipid_21	11255721	11130743	90919	32607	127103	98471	20594	8038	98.88964909489138	0.8077581169611436	0.2896926816149761	77.47338772491601	16.20260733420926	6.324004940874723
ES36_AR17-21_MG-lipid_0	10450058	10357960	63583	26902	126552	103237	16846	6469	99.1186843173502	0.6084463837425591	0.2574339778784003	81.57674315696315	13.311524116568682	5.111732726468171
ES37_AR17-21_MG-lipid_14	11852492	11743556	75197	31932	130403	104533	18497	7373	99.08090214277301	0.6344404197868262	0.26941169840064016	80.16149935200878	14.18448962063756	5.654011027353665
ES38_AR17-21_MG-lipid_21	10662671	10560097	70000	30690	134769	109711	17963	7095	99.03800839395683	0.6564959192682583	0.2878265680334693	81.40670332198057	13.328732868834821	5.2645638091846045
ES39_LD19-239_MG-lipid_14	10991270	10864489	89372	35056	135626	106886	21238	7502	98.84653001882403	0.8131180473230118	0.3189440346747919	78.80937283411735	15.659239378880155	5.531387787002492
ES3_48_Control-lipid_21	10465899	10364978	70949	28388	125088	100402	17995	6691	99.03571589979991	0.6779064082311514	0.27124282395616467	80.26509337426452	14.385872345868508	5.349034279866974
ES40_LD19-239_MG-lipid_21	12852212	12704793	103816	41024	137164	106885	22116	8163	98.85296787821427	0.8077675656143861	0.3191979715242792	77.92496573444927	16.123764253010993	5.951270012539734
ES41_Blue-013_Control-protein_0	12045786	11929650	79045	35093	129969	103656	19010	7303	99.03587860518192	0.6562045847402569	0.29133009668277354	79.75440297301665	14.626564796220636	5.61903223076272
ES42_Blue-013_Control-protein_14	10397440	10281846	79929	33600	129242	102008	19646	7588	98.88824556813985	0.7687373045672781	0.323156469284747	78.92790269417063	15.200940870614815	5.871156435214559
ES43_Blue-013_Control-protein_21	11582412	11465318	81236	34079	128518	101016	19975	7527	98.98903613513316	0.7013737725786304	0.2942305972193011	78.60066294215596	15.542569912385815	5.856767145458224
ES44_Blue-015_MG-lipid_0	12105813	11976841	89395	37319	136753	107441	21167	8145	98.93462752150558	0.7384468932404622	0.30827338899089224	78.56573530379589	15.478271043414038	5.955993652790067
ES45_Blue-015_MG-lipid_14	13647518	13508886	97234	39239	137632	107493	21748	8391	98.98419624725902	0.7124665451989145	0.287517481200611	78.10174959311787	15.801557777261102	6.096692629621018
ES46_Blue-015_MG-lipid_21	10762800	10625718	96600	38505	136635	105925	21982	8728	98.72633515442078	0.8975359571858623	0.357760062437284	77.5240604530318	16.088117978556006	6.387821568412193
ES47_Blue-45_MG-protein_0	10393398	10274147	82841	34125	135990	107203	20797	7990	98.8526274082836	0.7970540529670854	0.32833342858610826	78.83153173027428	15.293036252665637	5.875432017060078
ES48_Blue-45_MG-protein_14	11422430	11294686	87623	37742	133501	104271	21011	8219	98.88163902076879	0.767113477605028	0.3304200594794628	78.10503292110171	15.738458887948406	6.15650819094988
ES49_Blue-024_Control-protein_0	10984386	10891665	65268	26043	117915	94868	16729	6318	99.15588363336832	0.594188878650113	0.23709108547350757	80.45456472883009	14.187338336937625	5.358096934232286
