Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Rsem_mqc-generalstats-rsem-alignable_percent	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
ES16_601_Control-protein_21	105570590	95443889	0.23227498738146632	2.90070146547675e-12	1.43	43497982.0	87.84343795932183	78.6524334097214	83.68026104243631	40666227	0.001636522	8376278.0	87067611.0	89.5809736273456	89.5072584082904	0.4265249596087475	97194312.0											
ES16_601_Control-protein_21_1																		82.29409875662334	53.0	50.0	36.36363636363637	48927075.0	0.8891289332133588	81.88971796270106	53.0	49.56315698803444	27.27272727272727	48597156.0
ES16_601_Control-protein_21_2																		78.71523657402147	56.0	50.0	18.181818181818183	48927075.0	1.7624048852297014	79.18175025848119	56.0	49.37071150830308	27.27272727272727	48597156.0
ES17_615_Control-protein_0	101091893	91538247	0.5649452226494178	2.90070146547699e-12	1.33	41282959.0	87.78560050493486	77.67251722153428	84.22804358536648	38822608	0.002216126	8907375.0	82630872.0	89.63638775005582	89.56592689457898	0.4723493808363786	92184518.0											
ES17_615_Control-protein_0_1																		81.45737642761517	53.0	50.0	27.27272727272727	46470216.0	0.8790886618646231	81.12227388663729	53.0	49.56957373254368	27.27272727272727	46092259.0
ES17_615_Control-protein_0_2																		77.23501291542172	56.0	50.0	27.27272727272727	46470216.0	1.887377110534627	78.0611997431914	56.0	49.36079043120885	36.36363636363637	46092259.0
ES18_615_Control-protein_14	96316989	85578271	0.4560058495691574	2.90070146547682e-12	1.33	38920409.0	85.35971159984341	77.2784207363459	80.76232750855313	35814718	0.002560325	7625345.0	77952926.0	87.89207470322683	87.76567271658648	0.4652918599637188	88691644.0											
ES18_615_Control-protein_14_1																		77.50198298822886	52.0	50.0	27.27272727272727	44847689.0	0.925224530521517	76.98715261453266	52.0	49.5581767319591	27.27272727272727	44345822.0
ES18_615_Control-protein_14_2																		72.59772715021754	56.0	50.0	18.181818181818183	44847689.0	2.282871788555259	73.43826751848144	56.0	49.272177433084906	27.27272727272727	44345822.0
ES19_615_Control-protein_21	94937744	83522065	0.428971665064716	2.90070146547697e-12	1.41	37440190.0	84.361405404921	75.23046682044604	81.60958217304238	35256815	0.001783324	8534128.0	74987937.0	86.78796151309223	86.66347945437839	0.6089976604682841	86403616.0											
