Sample	x	y
ES7_SEM19.1354_Control.protein_14	3.84589094249125	-6.86369166007266
ES80_Blue.050_Control.lipid_14	-10.0612374876805	14.9598396424799
ES81_Blue.047_Control.lipid_0	-1.31976642094852	9.31721010895228
ES82_Blue.047_Control.lipid_14	-4.63284548179957	9.33342298030148
ES83_SEM19.1481_MG.lipid_0	7.81950850120075	-14.292499831234
ES84_LD19.239_MG.lipid_0	8.79683817481587	-12.3140220157467
ES85_orange.24_Control.protein_0	2.76168925596959	2.6675932836405
ES86_orange.24_Control.protein_14	-2.18391388588758	7.78719175268823
ES87_orange.24_Control.protein_21	-6.50561091324875	9.42042522326931
ES88_610_MG.protein_0	4.38153773383952	7.45363668696749
ES89_Blue.049_Control.protein_0	-175.166742102564	-34.7599645973239
