Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
ES7_SEM19-1354_Control-protein_14	4086318	31739050	0	35825368	88.5937863918104	31566968	172082	9710685
ES80_Blue-050_Control-lipid_14	5387977	28050843	0	33438820	83.88706000989269	27951418	99425	8209492
ES81_Blue-047_Control-lipid_0	5039756	32001837	0	37041593	86.39433244677139	31842352	159485	9615150
ES82_Blue-047_Control-lipid_14	3735170	21784823	0	25519993	85.3637499038499	21706657	78166	5649006
ES83_SEM19-1481_MG-lipid_0	5026176	34097483	0	39123659	87.15310344566699	33916478	181005	10799939
ES84_LD19-239_MG-lipid_0	5544669	32976083	0	38520752	85.60602087934316	32801225	174858	10948603
ES85_orange-24_Control-protein_0	5228202	32314055	0	37542257	86.0738207614955	32144800	169255	10379254
ES86_orange-24_Control-protein_14	4342733	25531716	0	29874449	85.46338712389307	25401532	130184	8035109
ES87_orange-24_Control-protein_21	5251671	31446785	0	36698456	85.68966770700108	31282595	164190	9804120
ES88_610_MG-protein_0	4846091	35706677	0	40552768	88.04991314033114	35525252	181425	11419223
ES89_Blue-049_Control-protein_0	106290	790	0	107080	0.7377661561449383	788	2	148
ES8_SEM19-1354_Control-protein_21	4681695	32838044	0	37519739	87.52204806115522	32640970	197074	10946771
ES90_Blue-049_Control-protein_14	5814822	30834860	0	36649682	84.13404514669459	30679823	155037	9206761
ES91_Blue-049_Control-protein_21	5237785	30222230	0	35460015	85.22903896120744	30075548	146682	9035708
ES92_SEM19-76_MG-lipid_0	5317456	36203473	0	41520929	87.19331159473816	36044119	159354	10313311
ES93_SEM19-76_MG-lipid_14	5813062	34351385	0	40164447	85.52684666615727	34159135	192250	11838635
ES94_SEM19-76_MG-lipid_21	5667143	35475656	0	41142799	86.22567463142214	35307521	168135	10960291
ES95_610_MG-protein_14	6081469	35114803	0	41196272	85.23781715005669	34904762	210041	12482280
ES96_610_MG-protein_21	5022158	34573837	0	39595995	87.31650006522125	34347707	226130	13252301
ES97_SEM19-107_MG-protein_0	5264334	33865614	0	39129948	86.5465346388909	33659951	205663	12236051
ES98_SEM19-107_MG-protein_14	6394159	39322101	0	45716260	86.01338123459793	39056725	265376	15193238
ES99_SEM19-107_MG-protein_21	5825093	32385010	0	38210103	84.75509736260068	32192110	192900	11628315
ES9_172_Control-protein_0	4373322	33714608	0	38087930	88.51782703864453	33517591	197017	10507376
