ES35_101-LS_MG-lipid_21	5460.0	9273.0	12469.0	15208.0	17508.0	19634.0	21542.0	23271.0	24829.0	26317.0	27718.0	28997.0	30181.0	31250.0	32334.0	33374.0	34266.0	35134.0	35949.0	36719.0
ES36_AR17-21_MG-lipid_0	4139.0	7046.0	9569.0	11741.0	13644.0	15456.0	16954.0	18419.0	19753.0	20959.0	22172.0	23282.0	24403.0	25375.0	26313.0	27164.0	27994.0	28778.0	29545.0	30286.0
ES37_AR17-21_MG-lipid_14	4806.0	8171.0	11012.0	13429.0	15578.0	17476.0	19260.0	20905.0	22395.0	23756.0	25040.0	26212.0	27357.0	28451.0	29440.0	30413.0	31349.0	32207.0	33020.0	33761.0
ES38_AR17-21_MG-lipid_21	4592.0	7876.0	10661.0	12966.0	15031.0	16845.0	18583.0	20192.0	21603.0	22957.0	24171.0	25345.0	26547.0	27580.0	28565.0	29478.0	30414.0	31238.0	32047.0	32781.0
ES39_LD19-239_MG-lipid_14	5220.0	8922.0	11981.0	14652.0	16910.0	19005.0	20855.0	22600.0	24185.0	25660.0	26967.0	28192.0	29384.0	30521.0	31578.0	32520.0	33435.0	34327.0	35158.0	35958.0
ES3_48_Control-lipid_21	4568.0	7741.0	10492.0	12831.0	14927.0	16787.0	18507.0	19966.0	21381.0	22717.0	23933.0	25077.0	26172.0	27247.0	28202.0	29099.0	29963.0	30803.0	31601.0	32355.0
ES40_LD19-239_MG-lipid_21	5984.0	10095.0	13361.0	16099.0	18493.0	20656.0	22584.0	24351.0	25959.0	27455.0	28760.0	30056.0	31242.0	32356.0	33423.0	34415.0	35344.0	36233.0	37099.0	37946.0
ES41_Blue-013_Control-protein_0	4733.0	8031.0	10800.0	13130.0	15170.0	17012.0	18608.0	20119.0	21509.0	22771.0	23990.0	25148.0	26214.0	27263.0	28149.0	29019.0	29838.0	30632.0	31373.0	32074.0
ES42_Blue-013_Control-protein_14	4630.0	8041.0	10671.0	12945.0	15011.0	16827.0	18527.0	20023.0	21408.0	22728.0	23987.0	25158.0	26286.0	27348.0	28308.0	29203.0	30051.0	30921.0	31749.0	32523.0
ES43_Blue-013_Control-protein_21	4724.0	7957.0	10701.0	13090.0	15259.0	17147.0	18843.0	20379.0	21766.0	23070.0	24311.0	25429.0	26441.0	27397.0	28393.0	29349.0	30231.0	31074.0	31842.0	32667.0
ES44_Blue-015_MG-lipid_0	5525.0	9494.0	12652.0	15351.0	17804.0	20031.0	21945.0	23752.0	25399.0	26914.0	28265.0	29631.0	30883.0	32057.0	33158.0	34229.0	35278.0	36218.0	37112.0	37942.0
ES45_Blue-015_MG-lipid_14	5871.0	9869.0	13082.0	15937.0	18487.0	20630.0	22567.0	24369.0	26003.0	27563.0	28960.0	30267.0	31502.0	32654.0	33697.0	34759.0	35775.0	36705.0	37529.0	38358.0
ES46_Blue-015_MG-lipid_21	5968.0	10069.0	13384.0	16218.0	18714.0	21032.0	23148.0	24996.0	26667.0	28197.0	29694.0	31085.0	32399.0	33668.0	34856.0	35975.0	37016.0	37995.0	38907.0	39791.0
ES47_Blue-45_MG-protein_0	5189.0	8815.0	11857.0	14492.0	16852.0	18909.0	20835.0	22645.0	24234.0	25726.0	27051.0	28363.0	29580.0	30702.0	31823.0	32846.0	33783.0	34726.0	35653.0	36496.0
ES48_Blue-45_MG-protein_14	5472.0	9313.0	12442.0	15154.0	17548.0	19647.0	21503.0	23315.0	24981.0	26503.0	27956.0	29269.0	30484.0	31640.0	32774.0	33838.0	34847.0	35791.0	36628.0	37480.0
ES49_Blue-024_Control-protein_0	4127.0	7148.0	9568.0	11641.0	13546.0	15221.0	16807.0	18252.0	19583.0	20807.0	21864.0	22947.0	23996.0	24927.0	25814.0	26611.0	27424.0	28123.0	28818.0	29498.0
ES4_164_Control-protein_0	4223.0	7305.0	9750.0	11899.0	13728.0	15403.0	16911.0	18309.0	19688.0	20924.0	22067.0	23118.0	24094.0	25042.0	25982.0	26797.0	27596.0	28400.0	29139.0	29799.0
ES50_Blue-024_Control-protein_14	3954.0	6902.0	9344.0	11487.0	13389.0	15086.0	16500.0	17839.0	19065.0	20217.0	21346.0	22420.0	23357.0	24255.0	25158.0	25972.0	26744.0	27468.0	28172.0	28848.0
ES51_Blue-024_Control-protein_21	3998.0	6959.0	9397.0	11484.0	13333.0	14966.0	16481.0	17868.0	19094.0	20239.0	21360.0	22373.0	23281.0	24177.0	25054.0	25887.0	26645.0	27337.0	27988.0	28592.0
ES52_SEM19-1481_MG-lipid_14	4814.0	8238.0	11047.0	13475.0	15612.0	17557.0	19248.0	20878.0	22340.0	23808.0	25154.0	26344.0	27490.0	28595.0	29574.0	30493.0	31377.0	32237.0	33094.0	33879.0
ES53_SEM19-74_MG-protein_0	4181.0	7244.0	9654.0	11779.0	13732.0	15551.0	17153.0	18597.0	19952.0	21236.0	22398.0	23497.0	24510.0	25509.0	26455.0	27321.0	28124.0	28899.0	29683.0	30360.0
ES54_SEM19-74_MG-protein_14	4438.0	7624.0	10269.0	12497.0	14557.0	16357.0	18077.0	19624.0	21114.0	22460.0	23711.0	24868.0	25948.0	26978.0	27927.0	28865.0	29728.0	30589.0	31386.0	32120.0
ES55_SEM19-74_MG-protein_21	4374.0	7406.0	9930.0	12194.0	14187.0	15994.0	17590.0	19049.0	20450.0	21773.0	23015.0	24169.0	25318.0	26287.0	27271.0	28215.0	29038.0	29861.0	30676.0	31451.0
ES56_Blue-050_Control-lipid_21	4416.0	7634.0	10381.0	12750.0	14847.0	16811.0	18489.0	20015.0	21448.0	22792.0	24058.0	25235.0	26339.0	27363.0	28326.0	29213.0	30000.0	30804.0	31548.0	32283.0
ES57_Blue-031_MG-lipid_0	5016.0	8490.0	11250.0	13642.0	15700.0	17624.0	19255.0	20708.0	22080.0	23334.0	24549.0	25684.0	26707.0	27667.0	28562.0	29448.0	30262.0	30984.0	31648.0	32322.0
ES58_Blue-032_MG-protein_0	4986.0	8453.0	11382.0	13845.0	16126.0	18175.0	19916.0	21519.0	22966.0	24364.0	25635.0	26853.0	28028.0	29139.0	30108.0	31022.0	31918.0	32725.0	33506.0	34256.0
ES59_Blue-032_MG-protein_14	5051.0	8629.0	11631.0	14282.0	16565.0	18606.0	20568.0	22293.0	23929.0	25410.0	26757.0	28053.0	29238.0	30416.0	31509.0	32534.0	33491.0	34396.0	35245.0	36086.0
ES5_164_Control-protein_14	4283.0	7259.0	9729.0	12020.0	14000.0	15626.0	17144.0	18539.0	19876.0	21121.0	22311.0	23384.0	24356.0	25298.0	26154.0	27012.0	27839.0	28608.0	29342.0	30011.0
ES60_Blue-032_MG-protein_21	4545.0	7784.0	10453.0	12870.0	14923.0	16838.0	18490.0	20031.0	21426.0	22752.0	23980.0	25151.0	26161.0	27251.0	28234.0	29207.0	30076.0	30918.0	31709.0	32473.0
ES61_Blue-035_MG-protein_0	4317.0	7414.0	9986.0	12217.0	14189.0	15916.0	17537.0	19010.0	20385.0	21639.0	22861.0	23951.0	25014.0	26014.0	26882.0	27782.0	28638.0	29396.0	30111.0	30877.0
ES62_Blue-035_MG-protein_14	4731.0	8103.0	10846.0	13284.0	15454.0	17313.0	18951.0	20527.0	21997.0	23419.0	24747.0	25962.0	27099.0	28072.0	29026.0	29957.0	30826.0	31656.0	32467.0	33233.0
ES63_Blue-035_MG-protein_21	4497.0	7655.0	10316.0	12591.0	14678.0	16478.0	18156.0	19731.0	21139.0	22465.0	23687.0	24835.0	25878.0	26882.0	27851.0	28764.0	29646.0	30469.0	31295.0	32025.0
ES64_SEM19-1481_MG-lipid_21	4845.0	8238.0	11022.0	13549.0	15688.0	17695.0	19487.0	21073.0	22540.0	23939.0	25248.0	26462.0	27584.0	28642.0	29661.0	30607.0	31500.0	32385.0	33224.0	34046.0
ES65_106_NA_0	4354.0	7507.0	10086.0	12260.0	14179.0	15928.0	17518.0	19015.0	20296.0	21519.0	22666.0	23756.0	24765.0	25714.0	26639.0	27509.0	28280.0	29074.0	29803.0	30447.0
ES66_617_Control-protein_14	4297.0	7506.0	10116.0	12310.0	14309.0	16083.0	17656.0	19171.0	20535.0	21834.0	23051.0	24092.0	25109.0	26088.0	26987.0	27817.0	28621.0	29376.0	30082.0	30808.0
ES67_Blue-037_MG-protein_0	4834.0	8155.0	10983.0	13370.0	15422.0	17226.0	18980.0	20578.0	22047.0	23423.0	24728.0	25884.0	26955.0	27914.0	28851.0	29787.0	30696.0	31489.0	32289.0	33043.0
