x y r gene
eye_score C1QTNF6 0.3683531089817823 C1QTNF6
eye_score PPIG 0.3687183925940963 PPIG
PDCD2L eye_score 0.3695965150443394 PDCD2L
eye_score PRKAG1 0.36995235649905295 PRKAG1
DCUN1D3 eye_score 0.37057661077207693 DCUN1D3
eye_score AGFG1 0.3711301219818891 AGFG1
GPR137B eye_score 0.3728252665866405 GPR137B
eye_score BLCAP 0.3738976033696852 BLCAP
eye_score WIPI1 0.3758493889362876 WIPI1
eye_score KAT6A 0.37672812052751997 KAT6A
ABCB7 eye_score 0.3776803576685009 ABCB7
eye_score LONP2 0.3778697770649175 LONP2
SENP3 eye_score 0.3786990830768152 SENP3
eye_score SESN1 0.37959433729588293 SESN1
eye_score SETD5 0.3804150841273246 SETD5
eye_score LOC108963997 0.3811795972969988 LOC108963997
LAPTM4A eye_score 0.38230705964053574 LAPTM4A
ATG101 eye_score 0.38240184700459195 ATG101
eye_score MIER1 0.3828692069548194 MIER1
eye_score ACTR5 0.382929005077989 ACTR5
eye_score TAF3 0.38310922241286566 TAF3
eye_score JARID2 0.38535905392867287 JARID2
eye_score LOC103813624 0.38606913826861694 LOC103813624
LOC103822380 eye_score 0.38751708349649694 LOC103822380
eye_score LOC103823886 0.38849000459831445 LOC103823886
eye_score EIF3B 0.38849419815012376 EIF3B
eye_score CNOT6L 0.3896180027852198 CNOT6L
NPDC1 eye_score 0.3900589017809443 NPDC1
LRRC45 eye_score 0.39022559270551066 LRRC45
eye_score LOC103820874 0.39033060948209714 LOC103820874
LOC103819260 eye_score 0.3924603200613084 LOC103819260
eye_score LOC103825345 0.39262491562901713 LOC103825345
SREBF2 eye_score 0.3939164184135603 SREBF2
CDC42SE2 eye_score 0.39449133231939587 CDC42SE2
TARS2 eye_score 0.39550612367019483 TARS2
eye_score TAF1 0.3956626397342833 TAF1
eye_score LATS1 0.39595367021447114 LATS1
TNFRSF1B eye_score 0.39615186368376876 TNFRSF1B
TMED2 eye_score 0.3981222593679575 TMED2
eye_score CLK3 0.3982275791391258 CLK3
SIRT7 eye_score 0.3990815577196785 SIRT7
CIB1 eye_score 0.4004690993546788 CIB1
SLC25A14 eye_score 0.4013408826481353 SLC25A14
LOC103819581 eye_score 0.4025634890192846 LOC103819581
RABGGTA eye_score 0.40278299440569754 RABGGTA
eye_score UBE2D3 0.40372791258931245 UBE2D3
SDC4 eye_score 0.4038047639785027 SDC4
eye_score INTS2 0.4043446792525266 INTS2
eye_score ZER1 0.40651493652090215 ZER1
eye_score ARHGAP26 0.4067944177087301 ARHGAP26
NECAB3 eye_score 0.4072912111442337 NECAB3
eye_score CPEB4 0.40754779009457864 CPEB4
LOC103824596 eye_score 0.4077364545677951 LOC103824596
LOC108963524 eye_score 0.40884460594381195 LOC108963524
LOC103819060 eye_score 0.4112995358159464 LOC103819060
eye_score RSAD2 0.4168545823247463 RSAD2
KSR1 eye_score 0.4183116533350903 KSR1
eye_score LTV1 0.41857067352731014 LTV1
LOC108963957 eye_score 0.4195419254661793 LOC108963957
SAV1 eye_score 0.42106316633599256 SAV1
eye_score STK38 0.4214638425906362 STK38
EPCAM eye_score 0.42151491981490097 EPCAM
eye_score LOC103819784 0.4223276152056297 LOC103819784
WIPF1 eye_score 0.42365249528285515 WIPF1
eye_score DEPTOR 0.42428243739543897 DEPTOR
eye_score LOC115484992 0.42477117438821566 LOC115484992
eye_score B4GALT2 0.42544595618777714 B4GALT2
E2F1 eye_score 0.4256761174610245 E2F1
eye_score COIL 0.42676306888361704 COIL
eye_score AP4B1 0.4273686402874924 AP4B1
SLC16A1 eye_score 0.4286168896245634 SLC16A1
eye_score LCMT1 0.42916481740044393 LCMT1
ZDHHC12 eye_score 0.4301022052382124 ZDHHC12
ALDOC eye_score 0.4330326004501749 ALDOC
ETHE1 eye_score 0.43358725125022013 ETHE1
DPP10 eye_score 0.43451315850673544 DPP10
eye_score KLHL15 0.43502949494058696 KLHL15
PLEKHH3 eye_score 0.436044701189108 PLEKHH3
LOC103817975 eye_score 0.4363007697335306 LOC103817975
eye_score FEM1B 0.4371157330363394 FEM1B
FAM214B eye_score 0.4388411817232397 FAM214B
eye_score FRMD6 0.44085942132955236 FRMD6
HDAC9 eye_score 0.44149525091977043 HDAC9
eye_score MVB12B 0.44194169738383193 MVB12B
COMMD9 eye_score 0.4424437860234214 COMMD9
ATP2A2 eye_score 0.44303043648570456 ATP2A2
eye_score LOC103813023 0.4431425081313751 LOC103813023
ENOX2 eye_score 0.44316234159777457 ENOX2
PEAR1 eye_score 0.4434623295237077 PEAR1
SLC37A4 eye_score 0.44532045535722103 SLC37A4
POU2AF1 eye_score 0.445634083712214 POU2AF1
eye_score PHKB 0.446184207793556 PHKB
SFT2D1 eye_score 0.44790117296491144 SFT2D1
eye_score LOC108961920 0.44824376552780265 LOC108961920
LOC108961955 eye_score 0.44831206049333416 LOC108961955
eye_score LOC103818289 0.4488110040192608 LOC103818289
LOC103825132 eye_score 0.4490345585385236 LOC103825132
eye_score GTF3C5 0.4493102003581479 GTF3C5
eye_score RREB1 0.45103331032947824 RREB1
eye_score NCOA4 0.4513904384239072 NCOA4
LOC103816513 eye_score 0.45141498166930993 LOC103816513
TOR4A eye_score 0.4520591414152653 TOR4A
CSRP1 eye_score 0.4531253099763854 CSRP1
eye_score RIN2 0.4541756185012519 RIN2
KIAA0100 eye_score 0.45477373927676884 KIAA0100
STEAP3 eye_score 0.45499718724866817 STEAP3
FOXS1 eye_score 0.45556955079314565 FOXS1
NT5C3A eye_score 0.4565143773432209 NT5C3A
VPS72 eye_score 0.45718617708013376 VPS72
MAP2K3 eye_score 0.4579464453268397 MAP2K3
EIF4EBP2 eye_score 0.45800337720351286 EIF4EBP2
LOC103825361 eye_score 0.45802940613801624 LOC103825361
eye_score RAB22A 0.45905029623189253 RAB22A
LOC103824715 eye_score 0.45945584460540423 LOC103824715
MDM4 eye_score 0.4607793834758816 MDM4
RALGDS eye_score 0.46175571078583255 RALGDS
CNNM4 eye_score 0.46292646056209835 CNNM4
eye_score RABGAP1 0.4631868226651603 RABGAP1
eye_score LOC103814299 0.46518566865394706 LOC103814299
eye_score DGKE 0.4659271306871842 DGKE
eye_score PSME4 0.46643276860591704 PSME4
ALG2 eye_score 0.4671751416526584 ALG2
POLR2C eye_score 0.4676998232870564 POLR2C
eye_score OGDH 0.4680682140719494 OGDH
PUM2 eye_score 0.4704961540898025 PUM2
eye_score LOC103826382 0.4726204520293107 LOC103826382
ACO2 eye_score 0.4727268303044383 ACO2
eye_score LOC103825246 0.4728488327716581 LOC103825246
C2CD2 eye_score 0.47304787242165397 C2CD2
SCD eye_score 0.4764849918354603 SCD
eye_score LOC103826107 0.47897581252842536 LOC103826107
ERP44 eye_score 0.48109185884154093 ERP44
eye_score TEX261 0.48326994569343873 TEX261
eye_score ENDOV 0.4844593012690339 ENDOV
SERPINI1 eye_score 0.4853998331460555 SERPINI1
ULK2 eye_score 0.4869495874229761 ULK2
eye_score LOC103815734 0.48791654750139424 LOC103815734
CLDN1 eye_score 0.4898169414914062 CLDN1
eye_score NRDC 0.49004908651300294 NRDC
SCAMP2 eye_score 0.4915603640627983 SCAMP2
eye_score ARMH3 0.4928133147539606 ARMH3
GORAB eye_score 0.49340610648952554 GORAB
eye_score LOC103823243 0.4941538421407347 LOC103823243
eye_score NOX1 0.49440900878222993 NOX1
eye_score CNOT8 0.4962992824453586 CNOT8
eye_score TTLL4 0.49700704404683743 TTLL4
MRTFA eye_score 0.4975458146384766 MRTFA
SEC61B eye_score 0.49900349904517405 SEC61B
SMIM33 eye_score 0.5009019762913383 SMIM33
eye_score RNF220 0.5015209803207913 RNF220
eye_score TMLHE 0.5026241896896817 TMLHE
eye_score NANP 0.5039632400480836 NANP
PDCL eye_score 0.5041195854961389 PDCL
RPL7L1 eye_score 0.5052421744690027 RPL7L1
eye_score TET2 0.5052698846028573 TET2
eye_score ADAL 0.5055534336967479 ADAL
eye_score DDX59 0.5074014999590347 DDX59
LOC108963113 eye_score 0.5104787441149461 LOC108963113
eye_score EIF2AK2 0.5105721577502075 EIF2AK2
LOC115485288 eye_score 0.5109144498744883 LOC115485288
eye_score RANBP9 0.5122732366157501 RANBP9
eye_score HDAC2 0.5150661775345611 HDAC2
RGS18 eye_score 0.5163159447120858 RGS18
eye_score KAT2A 0.5169377640429687 KAT2A
eye_score LOC103817379 0.5176197106302021 LOC103817379
eye_score DNAJA2 0.5181850335713738 DNAJA2
GDE1 eye_score 0.5186757442089911 GDE1
eye_score CNTNAP1 0.5187683277130907 CNTNAP1
PRDX3 eye_score 0.5188430836882101 PRDX3
eye_score CRAT 0.5200766941557982 CRAT
eye_score DBF4B 0.521893374290786 DBF4B
TRAPPC10 eye_score 0.5225018159869645 TRAPPC10
eye_score LOC103812486 0.5226647863718612 LOC103812486
PARP9 eye_score 0.5242792492621532 PARP9
eye_score SRGAP3 0.5261203139346817 SRGAP3
JCHAIN eye_score 0.5263091276407048 JCHAIN
eye_score GIPC2 0.5263937075746529 GIPC2
eye_score TTC3 0.5279819660275327 TTC3
eye_score LOC108964176 0.5284561673858882 LOC108964176
SEC61A1 eye_score 0.5294037091875766 SEC61A1
eye_score PEX13 0.5304119846375092 PEX13
eye_score LARP4B 0.5306042939969833 LARP4B
PKNOX1 eye_score 0.5331006842388359 PKNOX1
TRAM2 eye_score 0.5334576917391745 TRAM2
eye_score ADAR 0.5336896669362603 ADAR
GPATCH11 eye_score 0.5342669211628605 GPATCH11
IRAK4 eye_score 0.5354109177537876 IRAK4
eye_score CCT2 0.5356874490661921 CCT2
PTPN11 eye_score 0.5368093395926764 PTPN11
eye_score DENND4B 0.5374312776110296 DENND4B
IFRD2 eye_score 0.5384567709998797 IFRD2
eye_score LOC108964626 0.5389179009327831 LOC108964626
LOC103824282 eye_score 0.5401770843422486 LOC103824282
THUMPD1 eye_score 0.5407701834415213 THUMPD1
eye_score TOR1B 0.5413792315961126 TOR1B
ZFYVE27 eye_score 0.5414286216844226 ZFYVE27
FAM91A1 eye_score 0.5436512628882937 FAM91A1
eye_score WBP1L 0.5455990725474855 WBP1L
SDF4 eye_score 0.5465435887874608 SDF4
eye_score LOC103817899 0.5482005146644525 LOC103817899
eye_score ANXA11 0.5483331569269343 ANXA11
eye_score CMPK2 0.5485333196129206 CMPK2
eye_score BCKDHA 0.5485368361974524 BCKDHA
KANSL2 eye_score 0.5515626780070187 KANSL2
eye_score EPSTI1 0.5518807886178151 EPSTI1
DCAF13 eye_score 0.5521182744573402 DCAF13
SERBP1 eye_score 0.5523344538386853 SERBP1
eye_score EFCAB1 0.552356894512653 EFCAB1
PDLIM7 eye_score 0.552714366122256 PDLIM7
eye_score DLG1 0.5530768491928278 DLG1
STT3A eye_score 0.553393608728211 STT3A
IMPDH2 eye_score 0.5543612881938834 IMPDH2
eye_score OCRL 0.5601023062790674 OCRL
eye_score LOC103823678 0.5602720280569221 LOC103823678
eye_score DHX58 0.5615684680222504 DHX58
eye_score ZNF341 0.5619230477594351 ZNF341
BEND7 eye_score 0.5626882608018963 BEND7
eye_score ZCCHC2 0.5627683166278843 ZCCHC2
OXA1L eye_score 0.5643154974509772 OXA1L
MAP3K8 eye_score 0.5672576679755522 MAP3K8
eye_score USP18 0.5673829879091994 USP18
CNOT9 eye_score 0.5682580161518698 CNOT9
eye_score NAGPA 0.5682928382278014 NAGPA
ADAP2 eye_score 0.5698602304575718 ADAP2
eye_score DNAJC15 0.570049229325255 DNAJC15
PITRM1 eye_score 0.5720815994930577 PITRM1
eye_score MTCH1 0.5721564695270625 MTCH1
eye_score DDB1 0.5731081089029759 DDB1
LOC103814300 eye_score 0.5734598222937437 LOC103814300
MAPK1 eye_score 0.575005199494834 MAPK1
LOC103823677 eye_score 0.5760195151398082 LOC103823677
LOC103815742 eye_score 0.5780305772024827 LOC103815742
eye_score HELZ2 0.5787679924746935 HELZ2
LOC103822417 eye_score 0.5795639775387817 LOC103822417
eye_score CMTR1 0.580419564937803 CMTR1
ARHGAP45 eye_score 0.5821870833190298 ARHGAP45
eye_score LRRC14 0.5823845443719224 LRRC14
NCOA1 eye_score 0.582723472100492 NCOA1
CCR10 eye_score 0.5835375859617734 CCR10
SLC23A1 eye_score 0.5858634322731432 SLC23A1
eye_score PSMD1 0.586565987408824 PSMD1
AMMECR1L eye_score 0.5874463430571373 AMMECR1L
PBRM1 eye_score 0.5915405280166143 PBRM1
LOC115483958 eye_score 0.5940323889568548 LOC115483958
eye_score SACM1L 0.5942293334595806 SACM1L
LOC108963847 eye_score 0.5951643901234345 LOC108963847
PPIP5K1 eye_score 0.5960802478524795 PPIP5K1
MGAT2 eye_score 0.5966177563747954 MGAT2
PLEKHJ1 eye_score 0.5999871988621713 PLEKHJ1
OPHN1 eye_score 0.6066176921860847 OPHN1
UNC119B eye_score 0.6068120401325162 UNC119B
LOC103826835 eye_score 0.6074719459646589 LOC103826835
SCPEP1 eye_score 0.607673533825698 SCPEP1
eye_score TXNDC16 0.6086126243947213 TXNDC16
NUCKS1 eye_score 0.6148246713789673 NUCKS1
eye_score FMR1 0.6152445556382234 FMR1
CHERP eye_score 0.6160128593217572 CHERP
eye_score ERN1 0.6224991898210325 ERN1
eye_score SIDT2 0.6263091599089966 SIDT2
CRLF3 eye_score 0.6265393831433304 CRLF3
eye_score TRIM25 0.6281558446056558 TRIM25
AIFM1 eye_score 0.6281880463635282 AIFM1
eye_score GOLGA3 0.6328518025289182 GOLGA3
eye_score LOC115483841 0.6335131071411123 LOC115483841
eye_score TMX1 0.6335973885056753 TMX1
eye_score LOC103820504 0.6339875915922838 LOC103820504
TXNDC5 eye_score 0.6386044235231138 TXNDC5
HYAL3 eye_score 0.6402002602734456 HYAL3
LOC103818060 eye_score 0.6409332109487331 LOC103818060
MEF2D eye_score 0.6409594354848934 MEF2D
eye_score SERINC1 0.6446041384997637 SERINC1
OGT eye_score 0.6446510126465124 OGT
eye_score LOC108961868 0.6447728282381903 LOC108961868
eye_score CFLAR 0.647989651779945 CFLAR
eye_score LOC103826276 0.6485039218283815 LOC103826276
eye_score SLC49A4 0.6486744754003498 SLC49A4
eye_score RBM43 0.6511230246462576 RBM43
eye_score LOC103827401 0.6515465346910796 LOC103827401
XKRX eye_score 0.6524377377572653 XKRX
PGS1 eye_score 0.6543374501029104 PGS1
TENT5C eye_score 0.6579718135993433 TENT5C
CTBP1 eye_score 0.6581027431153661 CTBP1
eye_score GAA 0.658416904567218 GAA
eye_score TNRC6A 0.6594472445912761 TNRC6A
EPS15 eye_score 0.6618729453070181 EPS15
eye_score GIT2 0.6625322696677259 GIT2
eye_score POLR2B 0.6629594576271042 POLR2B
SEC14L1 eye_score 0.670767296015958 SEC14L1
eye_score NMI 0.6712644268614163 NMI
eye_score TRANK1 0.6734129329734214 TRANK1
eye_score RAB5A 0.6786657828087507 RAB5A
eye_score TRIM47 0.6795564212217168 TRIM47
eye_score NAA80 0.6811128610332335 NAA80
eye_score DDX58 0.6833147173456908 DDX58
HERC4 eye_score 0.6844411313661274 HERC4
KPNB1 eye_score 0.6855811070593161 KPNB1
eye_score RNF135 0.6859538658877001 RNF135
LOC103818269 eye_score 0.6960558544373372 LOC103818269
NOC2L eye_score 0.702070134595212 NOC2L
eye_score GOSR1 0.7023851625401458 GOSR1
eye_score NKAPD1 0.7027604665811 NKAPD1
THUMPD2 eye_score 0.7108346961462216 THUMPD2
LOC103815182 eye_score 0.7167740915348659 LOC103815182
RPN2 eye_score 0.7190623532312334 RPN2
eye_score MYD88 0.7232610689225741 MYD88
OSGEPL1 eye_score 0.7413688380076844 OSGEPL1
eye_score PXK 0.7633940546108761 PXK
FAF2 eye_score 0.764649663905196 FAF2
eye_score LOC103824337 0.7741227319936677 LOC103824337
